	2	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80
75	54	55	57	58	59	61	62	63	64	65	66	67	68	69	70	71	72
80	57	58	60	62	63	64	66	67	68	69	71	72	73	74	76	76	77
85	61	62	63	65	67	68	70	71	72	73	74	75	76	77	79	81	-
90	64	65	67	69	70	72	74	76	77	78	79	81	82	83	81	86	-
95	67	68	70	72	74	76	78	79	81	82	84	85	87	-	-	-	-
100	69	71	73	76	78	80	82	83	85	87	88	-	-	-	-	-	-
105	72	74	77	79	81	84	86	88	89	-	-	-	-	-	-	-	-
110	75	77	80	83	85	87	90	92	-	-	-	-	-	-	-	-	-
115	78	80	83	86	89	91	94	-	-	-	-	-	-	-	-	-	-
120	81	83	86	90	93	95	-	-	-	-	-	-	-	-	-	-	-
125	83	86	90	93	96	-	-	-	-	-	-	-	-	-	-	-	-
